HCPCS_CODE,SHORT_DESCRIPTION,LONG_DESCRIPTION
C2622,"Prosthesis, penile, non-inf","Prosthesis, penile, non-inflatable"
C2623,"Cath, translumin, drug-coat","Catheter, transluminal angioplasty, drug-coated, non-laser"
C2624,Wireless pressure sensor,"Implantable wireless pulmonary artery pressure sensor with delivery catheter, including all system components"
C2625,"Stent, non-cor, tem w/del sy","Stent, non-coronary, temporary, with delivery system"
C2626,"Infusion pump, non-prog,temp","Infusion pump, non-programmable, temporary (implantable)"
C2627,"Cath, suprapubic/cystoscopic","Catheter, suprapubic/cystoscopic"
C2628,"Catheter, occlusion","Catheter, occlusion"
C2629,"Intro/sheath, laser","Introducer/sheath, other than guiding, other than intracardiac electrophysiological, laser"
C2630,"Cath, ep, cool-tip","Catheter, electrophysiology, diagnostic/ablation, other than 3d or vector mapping, cool-tip"
C2631,"Rep dev, urinary, w/o sling","Repair device, urinary, incontinence, without sling graft"
C2634,"Brachytx, non-str, ha, i-125","Brachytherapy source, non-stranded, high activity, iodine-125, greater than 1.01 mci (nist), per source"
C2635,"Brachytx, non-str, ha, p-103","Brachytherapy source, non-stranded, high activity, palladium-103, greater than 2.2 mci (nist), per source"
C2636,"Brachy linear, non-str,p-103","Brachytherapy linear source, non-stranded, palladium-103, per 1 mm"
C2637,"Brachy,non-str,ytterbium-169","Brachytherapy source, non-stranded, ytterbium-169, per source"
C2638,"Brachytx, stranded, i-125","Brachytherapy source, stranded, iodine-125, per source"
C2639,"Brachytx, non-stranded,i-125","Brachytherapy source, non-stranded, iodine-125, per source"
C2640,"Brachytx, stranded, p-103","Brachytherapy source, stranded, palladium-103, per source"
C2641,"Brachytx, non-stranded,p-103","Brachytherapy source, non-stranded, palladium-103, per source"
C2642,"Brachytx, stranded, c-131","Brachytherapy source, stranded, cesium-131, per source"
C2643,"Brachytx, non-stranded,c-131","Brachytherapy source, non-stranded, cesium-131, per source"
C2644,Brachytx cesium-131 chloride,"Brachytherapy source, cesium-131 chloride solution, per millicurie"
C2645,"Brachytx planar, p-103","Brachytherapy planar source, palladium-103, per square millimeter"
C2698,"Brachytx, stranded, nos","Brachytherapy source, stranded, not otherwise specified, per source"
C2699,"Brachytx, non-stranded, nos","Brachytherapy source, non-stranded, not otherwise specified, per source"
C5271,Low cost skin substitute app,"Application of low cost skin substitute graft to trunk, arms, legs, total wound surface area up to 100 sq cm; first 25 sq cm or less wound surface area"
C5272,Low cost skin substitute app,"Application of low cost skin substitute graft to trunk, arms, legs, total wound surface area up to 100 sq cm; each additional 25 sq cm wound surface area, or part thereof (list separately in addition to code for primary procedure)"
C5273,Low cost skin substitute app,"Application of low cost skin substitute graft to trunk, arms, legs, total wound surface area greater than or equal to 100 sq cm; first 100 sq cm wound surface area, or 1% of body area of infants and children"
C5274,Low cost skin substitute app,"Application of low cost skin substitute graft to trunk, arms, legs, total wound surface area greater than or equal to 100 sq cm; each additional 100 sq cm wound surface area, or part thereof, or each additional 1% of body area of infants and children, or part thereof (list separately in addition to code for primary procedure)"
C5275,Low cost skin substitute app,"Application of low cost skin substitute graft to face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits, total wound surface area up to 100 sq cm; first 25 sq cm or less wound surface area"
C5276,Low cost skin substitute app,"Application of low cost skin substitute graft to face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits, total wound surface area up to 100 sq cm; each additional 25 sq cm wound surface area, or part thereof (list separately in addition to code for primary procedure)"
C5277,Low cost skin substitute app,"Application of low cost skin substitute graft to face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits, total wound surface area greater than or equal to 100 sq cm; first 100 sq cm wound surface area, or 1% of body area of infants and children"
C5278,Low cost skin substitute app,"Application of low cost skin substitute graft to face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits, total wound surface area greater than or equal to 100 sq cm; each additional 100 sq cm wound surface area, or part thereof, or each additional 1% of body area of infants and children, or part thereof (list separately in addition to code for primary procedure)"
C7500,Deb bone 20 cm2 w/drug dev,"Debridement, bone including epidermis, dermis, subcutaneous tissue, muscle and/or fascia, if performed, first 20 sq cm or less with manual preparation and insertion of deep (e.g., subfacial) drug-delivery device(s)"
C7501,Perc bx breast lesions stero,"Percutaneous breast biopsies using stereotactic guidance, with placement of breast localization device(s) (e.g., clip, metallic pellet), when performed, and imaging of the biopsy specimen, when performed, all lesions unilateral and bilateral (for single lesion biopsy, use appropriate code)"
C7502,Perc bx breast lesions mr,"Percutaneous breast biopsies using magnetic resonance guidance, with placement of breast localization device(s) (e.g., clip, metallic pellet), when performed, and imaging of the biopsy specimen, when performed, all lesions unilateral or bilateral (for single lesion biopsy, use appropriate code)"
C7503,Open exc cerv node(s) w/ id,"Open biopsy or excision of deep cervical node(s) with intraoperative identification (e.g., mapping) of sentinel lymph node(s) including injection of non-radioactive dye when performed"
C7504,Perq cvt&ls inj vert bodies,"Percutaneous vertebroplasties (bone biopsies included when performed), first cervicothoracic and any additional cervicothoracic or lumbosacral vertebral bodies, unilateral or bilateral injection, inclusive of all imaging guidance"
C7505,Perq ls&cvt inj vert bodies,"Percutaneous vertebroplasties (bone biopsies included when performed), first lumbosacral and any additional cervicothoracic or lumbosacral vertebral bodies, unilateral or bilateral injection, inclusive of all imaging guidance"
C7506,Fusion of finger joints,"Arthrodesis, interphalangeal joints, with or without internal fixation"
C7507,Perq thor&lumb vert aug,"Percutaneous vertebral augmentations, first thoracic and any additional thoracic or lumbar vertebral bodies, including cavity creations (fracture reductions and bone biopsies included when performed) using mechanical device (e.g., kyphoplasty), unilateral or bilateral cannulations, inclusive of all imaging guidance"
C7508,Perq lumb&thor vert aug,"Percutaneous vertebral augmentations, first lumbar and any additional thoracic or lumbar vertebral bodies, including cavity creations (fracture reductions and bone biopsies included when performed) using mechanical device (e.g., kyphoplasty), unilateral or bilateral cannulations, inclusive of all imaging guidance"
C7509,Dx bronch w/ navigation,"Bronchoscopy, rigid or flexible, diagnostic with cell washing(s) when performed, with computer-assisted image-guided navigation, including fluoroscopic guidance when performed"
C7510,Bronch/lavag w/ navigation,"Bronchoscopy, rigid or flexible, with bronchial alveolar lavage(s), with computer-assisted image-guided navigation, including fluoroscopic guidance when performed"
C7511,Bronch/bpsy(s) w/ navigation,"Bronchoscopy, rigid or flexible, with single or multiple bronchial or endobronchial biopsy(ies), single or multiple sites, with computer-assisted image-guided navigation, including fluoroscopic guidance when performed"
C7512,Bronch/bpsy(s) w/ ebus,"Bronchoscopy, rigid or flexible, with single or multiple bronchial or endobronchial biopsy(ies), single or multiple sites, with transendoscopic endobronchial ultrasound (ebus) during bronchoscopic diagnostic or therapeutic intervention(s) for peripheral lesion(s), including fluoroscopic guidance when performed"
C7513,Cath/angio dialcir w/aplasty,"Dialysis circuit, introduction of needle(s) and/or catheter(s), with diagnostic angiography of the dialysis circuit, including all direct puncture(s) and catheter placement(s), injection(s) of contrast, all necessary imaging from the arterial anastomosis and adjacent artery through entire venous outflow including the inferior or superior vena cava, fluoroscopic guidance, with transluminal balloon angioplasty of central dialysis segment, performed through dialysis circuit, including all required imaging, radiological supervision and interpretation, image documentation and report"
C7514,Cath/angio dial cir w/stents,"Dialysis circuit, introduction of needle(s) and/or catheter(s), with diagnostic angiography of the dialysis circuit, including all direct puncture(s) and catheter placement(s), injection(s) of contrast, all necessary imaging from the arterial anastomosis and adjacent artery through entire venous outflow including the inferior or superior vena cava, fluoroscopic guidance, with all angioplasty in the central dialysis segment, and transcatheter placement of intravascular stent(s), central dialysis segment, performed through dialysis circuit, including all required imaging, radiological supervision and interpretation, image documentation and report"
C7515,Cath/angio dial cir w/embol,"Dialysis circuit, introduction of needle(s) and/or catheter(s), with diagnostic angiography of the dialysis circuit, including all direct puncture(s) and catheter placement(s), injection(s) of contrast, all necessary imaging from the arterial anastomosis and adjacent artery through entire venous outflow including the inferior or superior vena cava, fluoroscopic guidance, with dialysis circuit permanent endovascular embolization or occlusion of main circuit or any accessory veins, including all required imaging, radiological supervision and interpretation, image documentation and report"
C7516,Cor angio w/ ivus or oct,"Catheter placement in coronary artery(s) for coronary angiography, including intraprocedural injection(s) for coronary angiography, with endoluminal imaging of initial coronary vessel or graft using intravascular ultrasound (ivus) or optical coherence tomography (oct) during diagnostic evaluation and/or therapeutic intervention including imaging supervision, interpretation and report"
C7517,Cor angio w/ilic/fem angio,"Catheter placement in coronary artery(s) for coronary angiography, including intraprocedural injection(s) for coronary angiography, with iliac and/or femoral artery angiography, non-selective, bilateral or ipsilateral to catheter insertion, performed at the same time as cardiac catheterization and/or coronary angiography, includes positioning or placement of the catheter in the distal aorta or ipsilateral femoral or iliac artery, injection of dye, production of permanent images, and radiologic supervision and interpretation"
C7518,Cor/gft angio w/ ivus or oct,"Catheter placement in coronary artery(ies) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation, with catheter placement(s) in bypass graft(s) (internal mammary, free arterial, venous grafts) including intraprocedural injection(s) for bypass graft angiography with endoluminal imaging of initial coronary vessel or graft using intravascular ultrasound (ivus) or optical coherence tomography (oct) during diagnostic evaluation and/or therapeutic intervention including imaging, supervision, interpretation and report"
C7519,Cor/gft angio w/ flow resrv,"Catheter placement in coronary artery(ies) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation, with catheter placement(s) in bypass graft(s) (internal mammary, free arterial, venous grafts) including intraprocedural injection(s) for bypass graft angiography with intravascular doppler velocity and/or pressure derived coronary flow reserve measurement (initial coronary vessel or graft) during coronary angiography including pharmacologically induced stress"
C7520,Cor/gft angio w/ilic/fem ang,"Catheter placement in coronary artery(ies) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation, with catheter placement(s) in bypass graft(s) (internal mammary, free arterial, venous grafts) includes intraprocedural injection(s) for bypass graft angiography with iliac and/or femoral artery angiography, non-selective, bilateral or ipsilateral to catheter insertion, performed at the same time as cardiac catheterization and/or coronary angiography, includes positioning or placement of the catheter in the distal aorta or ipsilateral femoral or iliac artery, injection of dye, production of permanent images, and radiologic supervision and interpretation"
C7521,R hrt angio w/ ivus or oct,"Catheter placement in coronary artery(ies) for coronary angiography, including intraprocedural injection(s) for coronary angiography with right heart catheterization with endoluminal imaging of initial coronary vessel or graft using intravascular ultrasound (ivus) or optical coherence tomography (oct) during diagnostic evaluation and/or therapeutic intervention including imaging supervision, interpretation and report"
C7522,R hrt angio w/flow resrv,"Catheter placement in coronary artery(ies) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation with right heart catheterization, with intravascular doppler velocity and/or pressure derived coronary flow reserve measurement (initial coronary vessel or graft) during coronary angiography including pharmacologically induced stress"
C7523,L hrt angio w/ ivus or oct,"Catheter placement in coronary artery(ies) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation, with left heart catheterization including intraprocedural injection(s) for left ventriculography, when performed, with endoluminal imaging of initial coronary vessel or graft using intravascular ultrasound (ivus) or optical coherence tomography (oct) during diagnostic evaluation and/or therapeutic intervention including imaging supervision, interpretation and report"
C7524,L hrt angio w/flow resrv,"Catheter placement in coronary artery(ies) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation, with left heart catheterization including intraprocedural injection(s) for left ventriculography, when performed, with intravascular doppler velocity and/or pressure derived coronary flow reserve measurement (initial coronary vessel or graft) during coronary angiography including pharmacologically induced stress"
C7525,L hrt gft ang w/ ivus or oct,"Catheter placement in coronary artery(ies) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation, with left heart catheterization including intraprocedural injection(s) for left ventriculography, when performed, catheter placement(s) in bypass graft(s) (internal mammary, free arterial, venous grafts) with bypass graft angiography with endoluminal imaging of initial coronary vessel or graft using intravascular ultrasound (ivus) or optical coherence tomography (oct) during diagnostic evaluation and/or therapeutic intervention including imaging supervision, interpretation and report"
C7526,L hrt gft ang w/flow resrv,"Catheter placement in coronary artery(ies) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation, with left heart catheterization including intraprocedural injection(s) for left ventriculography, when performed, catheter placement(s) in bypass graft(s) (internal mammary, free arterial, venous grafts) with bypass graft angiography with intravascular doppler velocity and/or pressure derived coronary flow reserve measurement (initial coronary vessel or graft) during coronary angiography including pharmacologically induced stress"
C7527,R&l hrt angio w/ ivus or oct,"Catheter placement in coronary artery(ies) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation, with right and left heart catheterization including intraprocedural injection(s) for left ventriculography, when performed, with endoluminal imaging of initial coronary vessel or graft using intravascular ultrasound (ivus) or optical coherence tomography (oct) during diagnostic evaluation and/or therapeutic intervention including imaging supervision, interpretation and report"
C7528,R&l hrt angio w/flow resrv,"Catheter placement in coronary artery(ies) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation, with right and left heart catheterization including intraprocedural injection(s) for left ventriculography, when performed, with intravascular doppler velocity and/or pressure derived coronary flow reserve measurement (initial coronary vessel or graft) during coronary angiography including pharmacologically induced stress"
C7529,R&l hrt gft ang w/flow resrv,"Catheter placement in coronary artery(ies) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation, with right and left heart catheterization including intraprocedural injection(s) for left ventriculography, when performed, catheter placement(s) in bypass graft(s) (internal mammary, free arterial, venous grafts) with bypass graft angiography with intravascular doppler velocity and/or pressure derived coronary flow reserve measurement (initial coronary vessel or graft) during coronary angiography including pharmacologically induced stress"
C7530,Cath/aplasty dial cir w/stnt,"Dialysis circuit, introduction of needle(s) and/or catheter(s), with diagnostic angiography of the dialysis circuit, including all direct puncture(s) and catheter placement(s), injection(s) of contrast, all necessary imaging from the arterial anastomosis and adjacent artery through entire venous outflow including the inferior or superior vena cava, fluoroscopic guidance, with transluminal balloon angioplasty, peripheral dialysis segment, including all imaging and radiological supervision and interpretation necessary to perform the angioplasty and all angioplasty in the central dialysis segment, with transcatheter placement of intravascular stent(s), central dialysis segment, performed through dialysis circuit, including all imaging, radiological supervision and interpretation, documentation and report"
C7531,Angio fem/pop w/ us,"Revascularization, endovascular, open or percutaneous, femoral, popliteal artery(ies), unilateral, with transluminal angioplasty with intravascular ultrasound (initial noncoronary vessel) during diagnostic evaluation and/or therapeutic intervention, including radiological supervision and interpretation"
C7532,Angio w/ us non-coronary,"Transluminal balloon angioplasty (except lower extremity artery(ies) for occlusive disease, intracranial, coronary, pulmonary, or dialysis circuit), initial artery, open or percutaneous, including all imaging and radiological supervision and interpretation necessary to perform the angioplasty within the same artery, with intravascular ultrasound (initial noncoronary vessel) during diagnostic evaluation and/or therapeutic intervention, including radiological supervision and interpretation"
C7533,Ptca w/ plcmt brachytx dev,"Percutaneous transluminal coronary angioplasty, single major coronary artery or branch with transcatheter placement of radiation delivery device for subsequent coronary intravascular brachytherapy"
C7534,Fem/pop revasc w/arthr & us,"Revascularization, endovascular, open or percutaneous, femoral, popliteal artery(ies), unilateral, with atherectomy, includes angioplasty within the same vessel, when performed with intravascular ultrasound (initial noncoronary vessel) during diagnostic evaluation and/or therapeutic intervention, including radiological supervision and interpretation"
C7535,Fem/pop revasc w/stent & us,"Revascularization, endovascular, open or percutaneous, femoral, popliteal artery(ies), unilateral, with transluminal stent placement(s), includes angioplasty within the same vessel, when performed, with intravascular ultrasound (initial noncoronary vessel) during diagnostic evaluation and/or therapeutic intervention, including radiological supervision and interpretation"
C7537,Insrt atril pm w/l vent lead,"Insertion of new or replacement of permanent pacemaker with atrial transvenous electrode(s), with insertion of pacing electrode, cardiac venous system, for left ventricular pacing, at time of insertion of implantable defibrillator or pacemaker pulse generator (e.g., for upgrade to dual chamber system)"
C7538,Insrt vent pm w/l vent lead,"Insertion of new or replacement of permanent pacemaker with ventricular transvenous electrode(s), with insertion of pacing electrode, cardiac venous system, for left ventricular pacing, at time of insertion of implantable defibrillator or pacemaker pulse generator (e.g., for upgrade to dual chamber system)"
C7539,Insrt a & v pm w/l vent lead,"Insertion of new or replacement of permanent pacemaker with atrial and ventricular transvenous electrode(s), with insertion of pacing electrode, cardiac venous system, for left ventricular pacing, at time of insertion of implantable defibrillator or pacemaker pulse generator (eg, for upgrade to dual chamber system)"
C7540,Rmv&rplc pm dul w/l vnt lead,"Removal of permanent pacemaker pulse generator with replacement of pacemaker pulse generator, dual lead system, with insertion of pacing electrode, cardiac venous system, for left ventricular pacing, at time of insertion of implantable defibrillator or pacemaker pulse generator (eg, for upgrade to dual chamber system)"
C7541,Ercp w/ pancreatoscopy,"Diagnostic endoscopic retrograde cholangiopancreatography (ercp), including collection of specimen(s) by brushing or washing, when performed, with endoscopic cannulation of papilla with direct visualization of pancreatic/common bile ducts(s)"
C7542,Ercp w/bx & pancreatoscopy,"Endoscopic retrograde cholangiopancreatography (ercp) with biopsy, single or multiple, with endoscopic cannulation of papilla with direct visualization of pancreatic/common bile ducts(s)"
C7543,"Ercp w/otomy, pancreatoscopy","Endoscopic retrograde cholangiopancreatography (ercp) with sphincterotomy/papillotomy, with endoscopic cannulation of papilla with direct visualization of pancreatic/common bile ducts(s)"
C7544,Ercp rmv calc pancreatoscopy,"Endoscopic retrograde cholangiopancreatography (ercp) with removal of calculi/debris from biliary/pancreatic duct(s), with endoscopic cannulation of papilla with direct visualization of pancreatic/common bile ducts(s)"
C7545,Exch bil cath w/ rmv calculi,"Percutaneous exchange of biliary drainage catheter (eg, external, internal-external, or conversion of internal-external to external only), with removal of calculi/debris from biliary duct(s) and/or gallbladder, including destruction of calculi by any method (eg, mechanical, electrohydraulic, lithotripsy) when performed, including diagnostic cholangiography(ies) when performed, imaging guidance (eg, fluoroscopy), and all associated radiological supervision and interpretation"
C7546,Rep nph/urt cath w/dil stric,"Removal and replacement of externally accessible nephroureteral catheter (eg, external/internal stent) requiring fluoroscopic guidance, with ureteral stricture balloon dilation, including imaging guidance and all associated radiological supervision and interpretation"
C7547,Cnvrt neph cath w/ dil stric,"Convert nephrostomy catheter to nephroureteral catheter, percutaneous via pre-existing nephrostomy tract, with ureteral stricture balloon dilation, including diagnostic nephrostogram and/or ureterogram when performed, imaging guidance (eg, ultrasound and/or fluoroscopy) and all associated radiological supervision and interpretation"
C7548,Exch neph cath w/ dil stric,"Exchange nephrostomy catheter, percutaneous, with ureteral stricture balloon dilation, including diagnostic nephrostogram and/or ureterogram when performed, imaging guidance (eg, ultrasound and/or fluoroscopy) and all associated radiological supervision and interpretation"
C7549,Chge urtr stent w/ dil stric,"Change of ureterostomy tube or externally accessible ureteral stent via ileal conduit with ureteral stricture balloon dilation, including imaging guidance (eg, ultrasound and/or fluoroscopy) and all associated radiological supervision and interpretation"
C7550,Cysto w/ bx(s) w/ blue light,"Cystourethroscopy, with biopsy(ies) with adjunctive blue light cystoscopy with fluorescent imaging agent"
C7551,Exc neuroma w/ implnt nv end,"Excision of major peripheral nerve neuroma, except sciatic, with implantation of nerve end into bone or muscle"
C7552,R hrt art/grft ang hrt flow,"Catheter placement in coronary artery(s) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation; with catheter placement(s) in bypass graft(s) (internal mammary, free arterial, venous grafts) including intraprocedural injection(s) for bypass graft angiography and right heart catheterization with intravascular doppler velocity and/or pressure derived coronary flow reserve measurement (coronary vessel or graft) during coronary angiography including pharmacologically induced stress, initial vessel"
C7553,R&i hrt art/vent ang drg ad,"Catheter placement in coronary artery(s) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation; with right and left heart catheterization including intraprocedural injection(s) for left ventriculography, when performed, catheter placement(s) in bypass graft(s) (internal mammary, free arterial, venous grafts) with bypass graft angiography with pharmacologic agent administration (eg, inhaled nitric oxide, intravenous infusion of nitroprusside, dobutamine, milrinone, or other agent) including assessing hemodynamic measurements before, during, after and repeat pharmacologic agent administration, when performed"
C7554,Cystureth blu li cyst fl img,Cystourethroscopy with adjunctive blue light cystoscopy with fluorescent imaging agent
C7555,Rmvl thyrd w/autotran parath,"Thyroidectomy, total or complete with parathyroid autotransplantation"
C7556,Bronch lavage w/ebus,"Bronchoscopy, rigid or flexible, with bronchial alveolar lavage and transendoscopic endobronchial ultrasound (ebus) during bronchoscopic diagnostic or therapeutic intervention(s) for peripheral lesion(s), including fluoroscopic guidance, when performed"
C7557,Cor angio/vent w/ffr,"Catheter placement in coronary artery(s) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation with left heart catheterization including intraprocedural injection(s) for left ventriculography, when performed and intraprocedural coronary fractional flow reserve (ffr) with 3d functional mapping of color-coded ffr values for the coronary tree, derived from coronary angiogram data, for real-time review and interpretation of possible atherosclerotic stenosis(es) intervention"
C7558,Cor angio/vent w/drug admin,"Catheter placement in coronary artery(s) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation with right and left heart catheterization including intraprocedural injection(s) for left ventriculography, when performed, catheter placement(s) in bypass graft(s) (internal mammary, free arterial, venous grafts) with bypass graft angiography with pharmacologic agent administration (eg, inhaled nitric oxide, intravenous infusion of nitroprusside, dobutamine, milrinone, or other agent) including assessing hemodynamic measurements before, during, after and repeat pharmacologic agent administration, when performed"
C7560,Ercp remove forgn body&endo,Endoscopic retrograde cholangiopancreatography (ercp) with removal of foreign body(s) or stent(s) from biliary/pancreatic duct(s) and endoscopic cannulation of papilla with direct visualization of pancreatic/common bile duct(s)
C7562,R&l hrt angio w/ffr & 3d map,"Catheter placement in coronary artery(s) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation; with right and left heart catheterization including intraprocedural injection(s) for left ventriculography, when performed with intraprocedural coronary fractional flow reserve (ffr) with 3d functional mapping of color-coded ffr values for the coronary tree, derived from coronary angiogram data, for real-time review and interpretation of possible atherosclerotic stenosis(es) intervention"
C7563,Trluml ballo angiop all art,"Transluminal balloon angioplasty (except lower extremity artery(ies) for occlusive disease, intracranial, coronary, pulmonary, or dialysis circuit), open or percutaneous, including all imaging and radiological supervision and interpretation necessary to perform the  angioplasty within the same artery, initial artery and all additional arteries"
C7564,Vein mech throm w/intrvas us,"Percutaneous transluminal mechanical thrombectomy, vein(s), including intraprocedural pharmacological thrombolytic injections and fluoroscopic guidance with intravascular ultrasound (noncoronary vessel(s)) during diagnostic evaluation and/or therapeutic intervention, including radiological supervision and interpretation"
C7565,Rpr aa hrn < 3 rdc w/ rmvl,"Repair of anterior abdominal hernia(s) (ie, epigastric, incisional, ventral, umbilical, spigelian), any approach (i.e., open, laparoscopic, robotic), recurrent, including implantation of mesh or other prosthesis when performed, total length of defect(s) less than 3 cm, reducible with removal of total or near total non-infected mesh or other prosthesis at the time of initial or recurrent anterior abdominal hernia repair or parastomal hernia repair"
C7566,Fuse finger joints w/grafts,"Arthrodesis, interphalangeal joints, with or without internal fixation, with autografts (includes obtaining grafts)"
C7567,Bronch/needle bx(s) w/ nav,"Bronchoscopy, rigid or flexible, including fluoroscopic guidance when performed, with transbronchial needle aspiration biopsy(s), trachea, main stem and/or lobar bronchus(i), with computer-assisted image-guided naviagation"
C7568,Cor angio w/flow resrv,"Catheter placement in coronary artery(ies) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation, with intravascular doppler velocity and/or pressure derived coronary flow reserve measurement (initial coronary vessel or graft) during coronary angiography including pharmacologically induced stress"
C7569,Ptca w/ ivus or oct,"Percutaneous transluminal coronary angioplasty, single major coronary artery or branch with endoluminal imaging of initial coronary vessel or graft using intravascular ultrasound (ivus) or optical coherence tomography (oct) during diagnostic evaluation and/or therapeutic intervention including imaging supervision, interpretation and report"
C7570,Cor angio w/ffr & 3d map,"Catheter placement in coronary artery(s) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation with intraprocedural coronary fractional flow reserve (ffr) with 3d functional mapping of color-coded ffr values for the coronary tree, derived from coronary angiogram data, for real-time review and interpretation of possible atherosclerotic stenosis(es) intervention (list separately in addition to code for primary procedure)"
C7571,Pcta w/ cor lithotrip,"Percutaneous transluminal coronary angioplasty, single major coronary artery or branch with percutaneous transluminal coronary lithotripsy"
C7900,"Hopd mntl hlt, 15-29 min","Service for diagnosis, evaluation, or treatment of a mental health  or substance use disorder, 15-29 minutes, provided remotely by hospital staff who are licensed to provide mental health services under applicable state law(s), when the patient is in their home, and there is no associated professional service"
C7901,"Hopd mntl hlt, 30-60 min","Service for diagnosis, evaluation, or treatment of a mental health or substance use disorder, 30-60 minutes, provided remotely by hospital staff who are licensed to provided mental health services under applicable state law(s), when the patient is in their home, and there is no associated professional service"
C7902,"Hopd mntl hlt, ea addl","Service for diagnosis, evaluation, or treatment of a mental health or substance use disorder, each additional 15 minutes, provided remotely by hospital staff who are licensed to provide mental health services under applicable state law(s), when the patient is in their home, and there is no associated professional service (list separately in addition to code for primary service)"
C7903,"Hopd mntl hlt, grp","Group psychotherapy service for diagnosis, evaluation, or treatment of a mental health or substance use disorder provided remotely by hospital staff who are licensed to provide mental health services under applicable state law(s), when the patient is in their home, and there is no associated professional service"
C8000,"Suprt dev, a-v fistula, imp","Support device, extravascular, for arteriovenous fistula (implantable)"
C8001,3d anat seg imaging preop,"3d anatomical segmentation imaging for preoperative planning, data preparation and transmission, obtained from previous diagnostic computed tomographic or magnetic resonance examination of the same anatomy"
C8002,"Prep skin cell susp, automtd","Preparation of skin cell suspension autograft, automated, including all enzymatic processing and device components (do not report with manual suspension preparation)"
C8003,Imp extar knee shck absrb,"Implantation of medial knee extraarticular implantable shock absorber spanning the knee joint from distal femur to proximal tibia, open, includes measurements, positioning and adjustments, with imaging guidance (e.g., fluoroscopy)"
C8004,Sim ang w/prs cath rad emb,"Simulation angiogram with use of a pressure-generating catheter (e.g., one-way valve, intermittently occluding), inclusive of all radiological supervision and interpretation, intraprocedural roadmapping, and imaging guidance necessary to complete the angiogram, for subsequent therapeutic radioembolization of tumors"
C8005,Pef bronch ablt 3d nav ebus,"Bronchoscopy, rigid or flexible, non-thermal transbronchial ablation of lesion(s) by pulsed electric field (pef) energy, including fluoroscopic and/or ultrasound guidance, when performed, with computed tomography acquisition(s) and 3d rendering, computer-assisted, image-guided navigation, and endobronchial ultrasound (ebus) guided transtracheal and/or transbronchial sampling (e.g., aspiration[s]/biopsy[ies]) of lung(s) and all mediastinal and/or hilar lymph node stations or structures, and therapeutic intervention(s)"
C8006,Inst pleu-perit shnt w pump,"Insertion of pleural-peritoneal shunt with intercostal pump chamber, including imaging, injection(s) of contrast with radiological supervision and interpretation, when performed"
C8900,"Mra w/cont, abd","Magnetic resonance angiography with contrast, abdomen"
C8901,"Mra w/o cont, abd","Magnetic resonance angiography without contrast, abdomen"
C8902,"Mra w/o fol w/cont, abd","Magnetic resonance angiography without contrast followed by with contrast, abdomen"
C8903,"Mri w/cont, breast,  uni","Magnetic resonance imaging with contrast, breast; unilateral"
C8904,"Mri w/o cont, breast, uni","Magnetic resonance imaging without contrast, breast; unilateral"
C8905,"Mri w/o fol w/cont, brst, un","Magnetic resonance imaging without contrast followed by with contrast, breast; unilateral"
C8906,"Mri w/cont, breast,  bi","Magnetic resonance imaging with contrast, breast; bilateral"
C8907,"Mri w/o cont, breast, bi","Magnetic resonance imaging without contrast, breast; bilateral"
C8908,"Mri w/o fol w/cont, breast,","Magnetic resonance imaging without contrast followed by with contrast, breast; bilateral"
C8909,"Mra w/cont, chest","Magnetic resonance angiography with contrast, chest (excluding myocardium)"
C8910,"Mra w/o cont, chest","Magnetic resonance angiography without contrast, chest (excluding myocardium)"
C8911,"Mra w/o fol w/cont, chest","Magnetic resonance angiography without contrast followed by with contrast, chest (excluding myocardium)"
C8912,"Mra w/cont, lwr ext","Magnetic resonance angiography with contrast, lower extremity"
